Population In Households In Maryland,,,,,
,Population,,,Generation,
,Male,Female ,Total,Name,Total
Total,"2,709,943","2,925,234","5,635,177",,
Under 5 years:,"185,585","178,243","363,828",,
5 to 9 years:,"186,627","179,763","366,390",,
10 to 14 years:,"192,617","185,695","378,312",,
15 to 17 years:,"122,743","117,781","240,524",,
18 and 19 years:,"69,480","64,035","133,515",,
20 years:,"35,046","33,236","68,282",,
21 years:,"34,703","33,669","68,372",iGen,"293,439"
22 to 24 years:,"110,846","114,221","225,067",iGen,
25 to 29 years:,"186,461","198,014","384,475",Millenials,"1,118,094"
30 to 34 years:,"173,469","188,390","361,859",Millenials,
35 to 39 years:,"176,722","195,038","371,760",Millenials,
40 to 44 years:,"195,781","216,264","412,045",GenX,"1,302,917"
45 to 49 years:,"216,949","238,504","455,453",GenX,
50 to 54 years:,"207,093","228,326","435,419",GenX,
55 to 59 years:,"176,329","197,861","374,190",Boomers,"1,070,189"
60 and 61 years:,"62,715","70,885","133,600",Boomers,
62 to 64 years:,"85,364","95,873","181,237",Boomers,
65 and 66 years:,"44,919","52,040","96,959",Boomers,
67 to 69 years:,"58,654","68,495","127,149",Boomers,
70 to 74 years:,"70,905","86,149","157,054",Boomers,
75 to 79 years:,"51,833","69,231","121,064",Greatest,"299,687"
80 to 84 years:,"36,759","56,581","93,340",Greatest,
85 years and over:,"28,343","56,940","85,283",Greatest,
All >= 21 years,,,"4,084,326",,
