"","State","medianIBU"
"1","AK",46
"2","AL",43
"3","AR",39
"4","AZ",20.5
"5","CA",42
"6","CO",40
"7","CT",29
"8","DC",47.5
"9","DE",52
"10","FL",55
"11","GA",55
"12","HI",22.5
"13","IA",26
"14","ID",39
"15","IL",30
"16","IN",33
"17","KS",20
"18","KY",31.5
"19","LA",31.5
"20","MA",35
"21","MD",29
"22","ME",61
"23","MI",35
"24","MN",44.5
"25","MO",24
"26","MS",45
"27","MT",40
"28","NC",33.5
"29","ND",32
"30","NE",35
"31","NH",48.5
"32","NJ",34.5
"33","NM",51
"34","NV",41
"35","NY",47
"36","OH",40
"37","OK",35
"38","OR",40
"39","PA",30
"40","RI",24
"41","SC",30
"42","SD",NA
"43","TN",37
"44","TX",33
"45","UT",34
"46","VA",42
"47","VT",30
"48","WA",38
"49","WI",19
"50","WV",57.5
"51","WY",21
